Name,URL
Atlanticare Regional Medical Center,https://www.atlanticare.org/patients-and-visitors/for-patients/billing-and-insurance/hospital-charge-list
Aurora Health Care Metro Inc.,https://www.aurorahealthcare.org/patients-visitors/billing-payment/health-care-costs#Auroras-Standard-Charges
Baptist Health System (San Antonio),https://www.baptisthealthsystem.com/for-patients/insurance-billing/billing-insurance-questions
Baptist Hospital (Miami),https://baptisthealth.net/en/facilities/baptist-hospital-miami/pages/default.aspx
Baptist Medical Center (Jacksonville),https://www.baptistjax.com/patient-info/billing-and-insurance-information/patient-cost-estimate-request/gross-charges
Barnes Jewish Hospital,https://www.bjc.org/For-Patients-Billing-Visitors/Financial-Assistance-Resources/BJC-Hospital-Standard-Charges
Brigham and Womens Hospital,https://www.partners.org/for-patients/Patient-Billing-Financial-Assistance/Hospital-Charge-Listing.aspx
California Pacific Medical Center,https://www.sutterhealth.org/cpmc/for-patients/health-care-costs-and-charges
California Pacific Medical Center R.K. Davies Medical Center,https://www.sutterhealth.org/for-patients/health-care-costs-and-charges
Carolinas Medical Center,https://atriumhealth.org/for-patients-visitors/financial-assistance
Cedars-Sinai Medical Center,https://www.cedars-sinai.org/billing-insurance.html?_ga=2.134300401.1845895740.1546880925-1879661893.1546880925
Central Dupage Hospital,https://www.nm.org/locations/central-dupage-hospital
Chippenham and Johnston-Willis Medical Center,https://chippenhammed.com/about/legal/detail-price-list.dot
Cleveland Clinic Hospital,https://my.clevelandclinic.org/patients/billing-insurance/patient-price-lists
Communityu Regional Medical Center,https://www.communitymedical.org/for-patients-families/billing-and-insurance/Hospital-Standard-Charges
Cooper University Hospital,https://www.cooperhealth.org/patients-visitors/financial-matters/chargemaster
Covenant Health System,https://www.covenanthealth.org/patients-and-visitors/for-patients/billing-and-payments/pricing/
Crozer Chester Medical Center,https://www.crozerkeystone.org/patients-visitors/patient-financial-resources/consumer-price-transparency/
Dallas County Hospital District,http://www.dallascohospital.org/price-transparency.cfm
Doctors Medical Center of Modesto,https://www.dmc-modesto.com/for-patients/insurance-financial-support/billing-insurance-questions
Duke University Hospital,https://www.dukehealth.org/paying-for-care/what-duke-charges-services
Florida Hospital,https://www.adventhealth.com/pricelist
Geisinger Medical Center,https://www.geisinger.org/patient-care/patients-and-visitors/billing-and-insurance/tools-to-use/hospital-charge-list
Grady Memorial Hospital,https://www.gradyhealth.org/billing-and-insurance/
